id	author	title	translator	year	publisher	pub_place
255	Jacq, Christian	The flaming sword : a novel of ancient Egypt	Dyson, Sue	2005	Atria Books	New York
256	Verne, Jules;;Evans, Arthur B.	The Begum's millions	Luce, Stanford	2005	Wesleyan University Press	Middletown, CONN
257	Boursin, Didier	Paper folding fun	NA	2006	Gareth Stevens	Milwaukee, WIS
258	Casagranda, Brigitte	Salt dough fun	NA	2005	Gareth Stevens	Milwaukee, WIS
259	Lassus, Irène;;Voituriez, Marie-Anne	Papier mâché fun	NA	2006	Gareth Stevens	Milwaukee, WIS
260	Leroux-Hugon, Hélène	Art foam fun	NA	2006	Gareth Stevens	Milwaukee, WIS
261	Mérot, Pierre	Mammals	Wynne, Frank	2006	Grove Press	New York
262	Giesbert, Franz-Olivier	The American	Johnson, Barbara	2005	Pantheon Books	New York
263	Salvayre, Lydie	The company of ghosts : followed by some useful advice for apprentice process-servers	Woodall, Christopher	2006	Dalkey Archive Press	Normal, ILL
264	Sand, George	The master mosaic makers	Majewski, Henry F.	2005	Edwin Mellen Press	Lewiston, N.Y.
265	Balzac, Honoré de	Wann-Chlore (1825)	Du Plessis, Eric H.	2005	Edwin Mellen Press	Lewiston, N.Y.
266	Amette, Jacques-Pierre	Brecht's mistress	Brown, Andrew	2005	New Press	New York
267	Meillet, Antoine	General characteristics of the Germanic languages	Dismukes, William P.	2005	University of Alabama Press	Tuscaloosa, ALA
268	Royer, Anne	Little guinea pigs	NA	2006	Gareth Stevens	Milwaukee, WIS
269	Kristeva, Julia	Murder in Byzantium	Delogu, Christopher Jon	2006	Columbia University Press	New York
270	Ben Jelloun, Tahar	The last friend	Rowley, Hazel;;Capé, Kevin Michel	2006	New Press	New York
271	Khadra, Yasmina	The attack	Cullen, John	2006	Nan A. Talese;;Doubleday	New York;;New York
272	NA	An anthology of medieval love debate poetry	Palmer, R. Barton;;Altmann, Barbara K.	2006	University Press of Florida	Gainsville, FLA
273	Montardre, Hélène	Little cats	NA	2006	Gareth Stevens	Milwaukee, WIS
274	Barbé-Julien, Colette	Little chickens	NA	2006	Gareth Stevens	Milwaukee, WIS
275	Marie, Christian	Little dogs	NA	2006	Gareth Stevens	Milwaukee, WIS
276	Chottin, Ariane	Little donkeys	NA	2006	Gareth Stevens	Milwaukee, WIS
277	Barbé-Julien, Colette	Little horses	NA	2006	Gareth Stevens	Milwaukee, WIS
278	Marie, Christian	Little ladybugs	NA	2006	Gareth Stevens	Milwaukee, WIS
279	Marie, Christian	Little sheep	NA	2006	Gareth Stevens	Milwaukee, WIS
280	Watanabe, Etsuko	Oscar's party	NA	2005	Bloomsbury Children's Books	New York
281	Quinn, Tom	The traumatic memory of the Great War, 1914-1918, in Louis-Ferdinand Céline's Voyage au bout de la nuit	NA	2005	Edwin Mellen Press	Lewiston, N.Y.
282	Bonnefoy, Yves	The curved planks	Rogers, Hoyt	2006	Farrar Straus Giroux	New York
283	Verne, Jules	Twenty thousand leagues under the sea	Allen, Philip Schuyler	2006	Dover Publications	Mineola, N.Y.
284	Houellebecq, Michel	The possibility of an island	Bowd, Gavin	2005	Alfred A. Knopf	New York
285	Gautier, Théophile;;Maupassant, Guy de;;Mérimée, Prosper;;Nodier, Charles;;Villiers de l'Isle-Adam, Philippe-Auguste de;;Appelbaum, Stanley	Great French tales of fantasy : Trilby, or, The elf of Argyll ; The amorous dead woman ; The Venus of Ille ; Second sight ; A divorce case ; Who Knows	NA	2005	Dover Publications	Mineola, N.Y.
286	Rambaud, Patrick	Napoleon's exile	Whiteside, Shaun	2005	Grove Press	New York
287	Faller, Régis	Polo : the runaway book	NA	2007	Roaring Brook Press	New Milford, CONN
288	Molière;;Landes, William-Alan	The affected young ladies	NA	2004	Players Press	Studio City, CALIF
289	Faller, Régis	The adventures of Polo	NA	2006	Roaring Brook	New Milford, CONN
290	Roubaud, Jacques	The form of a city changes faster, alas, than the human heart	Waldrop, Keith;;Waldrop, Rosmarie	2006	Dalkey Archive Press	Normal, ILL
291	Céline, Louis-Ferdinand	Conversations with Professor Y	Luce, Stanford	2006	Dalkey Archive Press	Normal, ILL
292	Navarre, Yves	Sweet tooth	Watson, Donald	2006	Dalkey Archive Press	Normal, ILL
293	Balzac, Honoré de	The Centenarian, or, The two Beringhelds	Slusser, George Edgar;;Chatelain, Danièle	2005	Wesleyan University Press	Middletown, CONN
294	Dumas, Alexandre	The three musketeers	Pevear, Richard	2006	Viking	New York
295	Dumas, Alexandre;;Brantley, Margaret	The Count of Monte Cristo	NA	2004	Pocket Books	New York
296	Crevel, René	My body and I	Bononno, Robert	2005	Archipelago Books	Brooklyn, N.Y.
297	Allancé, Mireille d'	What a tantrum!;;Vaya rabieta	Sarfatti, Esther;;Vinent, Julia	2004	Scholastic	New York
298	Boisteau, Manu;;Martin, Paul	Runaway zombie!	NA	2004	Hyperion Books for Children	New York
299	Boisteau, Manu;;Martin, Paul	Horror gets slimed	NA	2004	Hyperion Books for Children;;Volo	New York;;New York
300	Boisteau, Manu;;Martin, Paul	Wolf man Stu bites back	NA	2004	Hyperion Books for Children	New York
301	Khadra, Yasmina	Double blank	Botsford, Aubrey	2005	Toby Press	New Milford, CONN
302	Semprún, Jorge	The long voyage	Seaver, Richard	2005	Overlook Press	Woodstock, N.Y.
303	Gide, André	Strait is the gate	Bussy, Dorothy	2004	Overlook Press	Woodstock, N.Y.
304	Dumont, Jean-François	A blue so blue	Bourque, Michel	2005	Sterling Publishing	New York
305	Rostand, Edmond	Cyrano de Bergerac	Kingsbury, Howard Thayer	2004	Pocket Books	New York
306	Verne, Jules	Around the world in eighty days	Rogers, Jacqueline	2005	Signet Classics	New York
307	Mallon, Alexis	Coptic grammar	Ayad, Boulos Ayad	2004	Boulos Ayad Ayad	Boulder, COLO
308	Voltaire	Candide	NA	2005	Pocket Books	New York
309	Condé, Maryse	Who slashed Celanire's throat? : a fantastical tale	Philcox, Richard	2005	Washington Square Press	New York
310	Boisteau, Manu;;Martin, Paul	Count Snobuta vamps it up	NA	2004	Volo;;Hyperion Books for Children	New York;;New York
311	Boisteau, Manu;;Martin, Paul	Sally gets silly	NA	2004	Hyperion Books for Children	New York
312	Constant, Paule	Ouregano	Miller, Margot	2005	Lexington Books	Lanham, MD
313	Messina	Reality show : this show you won't see on prime time!	Teodorani, Enrico	2005	Eurotica	New York
314	Lévy, Marc	Just like heaven	NA	2005	Pocket Books	New York
315	Théoret, France	Girls closed in	Von Flotow-Evans, Luise	2005	Guernica	Buffalo, N.Y.
316	Sorel, Charles;;Gajda, Daniel A.	The comical history of Francion	NA	2005	Chicago Spectrum Press	Louisville, KY
317	Cherry, John	Medieval love poetry	NA	2005	J. Paul Getty Museum	Los Angeles, CALIF
318	Crevel, René	My body and I : a novel	Bononno, Robert	2005	Archipelago Books	Brooklyn, N.Y.
319	Khoury-Ghata, Vénus	A house at the edge of tears	Hacker, Marilyn	2005	Graywolf Press	St. Paul, MINN
320	Malraux, André	The kingdom of farfelu;;Paper moons	Keckler, W. B.	2005	Fugue State Press	New York
321	Py, Olivier	Olivier Py (four plays) : Theatres ; Epistle to young actors ; The exaltation of the labyrinth ; Youth	Edney, David	2005	University Press of America	Lanham, MD
322	Zola, Émile	Fruitfulness	Vizetelly, Ernest Alfred	2005	Mondial	New York
323	NA	Medieval English and French legends : an anthology of religious and secular narrative	Palmer, R. Barton	2006	College Publishing	Glen Allen, VA
324	Guibert, Françoise de	Sing, nightingale, sing!	NA	2006	Kane/Miller Book Publishers	La Jolla, CALIF
325	Zola, Émile	A love episode	NA	2005	Mondial	New York
326	Zola, Émile	The dream	Chase, Eliza E.	2005	Mondial	New York
327	Zola, Émile	Doctor Pascal	Serrano, Mary J.	2005	Mondial	New York
328	Zola, Émile	The fat and the thin	Vizetelly, Ernest Alfred	2005	Mondial	New York
329	Zola, Émile	Abbé Mouret's transgression	Vizetelly, Ernest Alfred	2005	Mondial	New York
330	Alexakīs, Vasilīs	Foreign words	Waters, Alyson	2006	Autumn Hill Books	Iowa City, IA
331	Zola, Émile	The conquest of Plassans	Vizetelly, Ernest Alfred	2005	Mondial	New York
332	France, Anatole	Penguin Island	NA	2005	Mondial	New York
333	Fontanille, Jacques	The semiotics of discourse	Bostic, Heidi	2006	P. Lang	New York
334	Greif, Jean-Jacques	The fighter	NA	2006	Bloomsbury	New York
335	Cottenet-Hage, Madeleine;;Sartori, Eva Martin	Daughters of Sarah : anthology of Jewish women writing in French	NA	2006	Holmes & Meier	Teaneck, N.J.
336	Mourlevat, Jean-Claude	The pull of the ocean	Maudet, Y.	2006	Delacorte Press	New York
337	Satrapi, Marjane	Monsters are afraid of the moon	Davis, Jill	2006	Bloomsbury Children's Books	New York
338	Breton, André	Poems of André Breton	Caws, Mary Ann;;Cauvin, Jean Pierre	2006	Black Widow Press	Boston, MASS
339	Donnio, Sylviane	I'd really like to eat a child	NA	2007	Random House	New York
340	Némirovsky, Irène	Suite française	Smith, Sandra	2006	Alfred A. Knopf	New York
341	Michaux, Henri	Stroke by stroke	Sieburth, Richard	2006	Archipelago Books	Brooklyn, N.Y.
342	Claro, Christophe	Electric flesh	Evenson, Brian	2006	Soft Skull Press	Brooklyn, N.Y.
343	Pomerand, Gabriel	Saint Ghetto of the Loans : grimoire	Kasper, Michael;;Viswanathan, Bhamati	2006	Ugly Duckling Presse	Brooklyn, N.Y.
344	Carrière, Jean-Claude	Please, Mr. Einstein	Brownjohn, John	2006	Harcourt	Orlando, FLA
345	Desplechin, Marie	Poor little witch girl	Rosner, Gill	2006	Bloomsbury Children's Books	New York
346	Verne, Jules	20,000 leagues under the sea	NA	2007	F. Watts	New York
347	Desmazières, Sandra	Emma and her friends : a book about colors	NA	2007	Gareth Stevens	Milwaukee, WIS
348	Verne, Jules	The meteor hunt	Miller, Walter James;;Walter, Frederick Paul	2006	University of Nebraska Press	Lincoln, NEBR
349	Ayroles, François;;Benoît, Ted	Playback : a graphic novel	NA	2006	Arcade	New York
350	Borg, Janet	Stars & planets	NA	2006	Lark books	New York
351	Le Bloas-Julienne, Renée	The shark, silent hunter	Uhlig, Elizabeth	2007	Charlesbridge	Watertown, MASS
352	Derrida, Jacques	H.C. for life, that is to say ...	Milesi, Laurent;;Herbrechter, Stefan	2006	Stanford University Press	Stanford, CALIF
353	Albiach, Anne-Marie	Figured image	Waldrop, Keith	2006	Post-Apollo Press	Sausalito, CALIF
354	Calan, Pierre de	Cosmas, or, the love of God	Hebblethwaite, Peter	2006	Loyola Classics	Chicago, ILL
355	Baudelaire, Charles	The flowers of evil	Waldrop, Keith	2006	Wesleyan University Press	Middletown, CONN
356	Bouillier, Grégoire	The mystery guest	Stein, Lorin	2006	Farrar Straus Giroux	New York
357	La Fayette, Marie Madeleine de	Zayde : a Spanish romance	Paige, Nicholas D.	2006	University of Chicago Press	Chicago, ILL
358	Barbé-Julien, Colette	Conejitos	Acosta, Tatiana;;Gutiérrez, Guillermo	2007	Gareth Stevens	Milwaukee, WIS
359	Guidoux, Valérie	Ositos	NA	2007	Gareth Stevens	Milwaukee, WIS
360	Royer, Anne	Patitos	Acosta, Tatiana;;Gutiérrez, Guillermo	2007	Gareth Stevens	Milwaukee, WIS
361	Desmazières, Sandra	Emma y sus amigos : un libro sobre los colores	NA	2007	G. Stevens Pub.	Milwaukee, WIS
362	Barbé-Julien, Colette	Cerditos	NA	2007	Gareth Stevens	Milwaukee, WIS
363	Simenon, Georges	Red lights	Denny, Norman	2006	New York Review Books	New York
364	Chabaneix, Hortense de;;Laffon, Martine	The book of how	NA	2007	Abrams Books for Young Readers	New York
365	NA	Farm animals : fun facts and stuff to do.	NA	2006	Tiger Tales	Wilton, CONN
366	NA	Savanna animals : fun facts and stuff to do	NA	2006	Tiger Tales	Wilton, CONN
367	Rolin, Olivier	Paper tiger	Cloonan, William J.	2007	University of Nebraska Press	Lincoln, NEBR
368	Salvayre, Lydie	Everyday life	Kuntz, Jane	2006	Dalkey Archive Press	Rochester, N.Y.
369	Groensteen, Thierry	The system of comics	Beaty, Bart;;Nguyen, Nick	2007	University Press of Mississippi	Jackson, MISS
370	Weiss, Jonathan M.	Irène Némirovsky : her life and works	NA	2007	Stanford University Press	Stanford, CALIF
371	Gipi	Garage band	NA	2007	First Second	New York
372	Eluard, Paul	Last love poems of Paul Eluard	Kallet, Marilyn	2006	Black Widow Press	Boston, MASS
373	Toumi, Alek Baylee	Madah-Sartre : the kidnapping, trial, and conver(sat/s)ion of Jean-Paul Sartre and Simone de Beauvoir	Toumi, Alek Baylee	2007	University of Nebraska Press	Lincoln, NEBR
374	Cixous, Hélène;;Rabaté, Jean-Michel;;Levy, Aaron	Ex-cities	NA	2006	Slought Books with the Alice Paul Center for Research on Women and Gender	Philadelphia, PA
375	Trondheim, Lewis	Tiny tyrant	Siegel, Alexis	2007	First Second	New York
376	Halter, Marek	Lilah : a forbidden love, a people's destiny	NA	2006	Thorndike Press	Waterville, ME
377	Reza, Yasmina	Adam Haberberg	Strachan, Geoffrey	2007	Alfred A. Knopf	New York
378	Guibert, Emmanuel;;Sfar, Joann	The professor's daughter	Siegel, Alexis	2007	First Second	New York
379	Freland, François-Xavier	We live in Brazil	NA	2007	Abrams Books for Young Readers	New York
380	Eluard, Paul	Capital of pain	Caws, Mary Ann;;Kline, Nancy;;Terry, Patricia Ann	2006	Black Widow Press	Boston, MASS
381	Messager, Alexandre	We live in Japan	NA	2007	Abrams Books for Young Readers	New York
382	Rozen, Anna	The merchant of noises	Scarbrough, Carl W.	2006	David R. Godine	Boston, MASS
383	Bondoux, Anne-Laure	Life as it comes	Maudet, Y.	2007	Delacorte Press	New York
384	Rousseau, Jean-Jacques	Autobiographical, scientific, religious, moral, and literary writings	Kelly, Christopher	2006	University Press of New England;;Dartmouth College	Hanover, N.H.;;Hanover, N.H.
385	Abeele, Véronique van den	Still my Grandma	NA	2007	Eerdmans Books for Young Readers	Grand Rapids, MICH
386	Sand, George	Valvèdre	Massardier-Kenney, Françoise	2007	State University of New York Press	Albany, N.Y.
387	Boileau-Despréaux, Nicolas	Selected poems	Raffel, Burton	2007	Yale University Press	New Haven, CONN
388	Djébar, Assia	The tongue's blood does not run dry (Algerian stories) : Algeria: Between desire and death ; Oran, dead language ; Non-return returns ; The fever ; The attack ; The woman in pieces - Between France and Algeria: Annie and Fatima ; Félicie's body	Raleigh, Tegan	2006	Seven Stories Press	New York
389	Dai, Sijie	Mr. Muo's travelling couch	Rilke, Ina	2006	Wheeler Publishing	Waterville, ME
390	Némirovsky, Irène	Suite française	Smith, Sandra	2006	Thorndike Press	Waterville, ME
391	Töpffer, Rodolphe	Rodolphe Töpffer : the complete comic strips	Kunzle, David	2007	University Press of Mississippi	Jackson, MISS
392	Kramer, Pascale	The living	Black, Tamsin	2007	University of Nebraska Press	Lincoln, NEBR
393	Prévert, Jacques	How to paint the portrait of a bird	NA	2007	Roaring Brook Press	New York
394	Blanchot, Maurice	A voice from elsewhere	Mandell, Charlotte	2007	State University of New York Press	Albany, N.Y.
395	Lambilly-Bresson, Elisabeth de	Animals at the pond	NA	2007	Gareth Stevens	Milwaukee, WIS
396	Lambilly-Bresson, Elisabeth de	Animals in the field	NA	2007	Gareth Stevens	Milwaukee, WIS
397	Lambilly-Bresson, Elisabeth de	Animals in the garden	NA	2007	Gareth Stevens	Milwaukee, WIS
398	Lambilly-Bresson, Elisabeth de	Animals of the night	NA	2007	Gareth Stevens	Milwaukee, WIS
399	Lambilly-Bresson, Elisabeth de	Animals on the farm	NA	2007	Gareth Stevens	Milwaukee, WIS
400	Lambilly-Bresson, Elisabeth de	Baby animals	NA	2007	Gareth Stevens	Milwaukee, WIS
401	Oster, Christian	The unforeseen	Hunter, Adriana	2006	Other Press	New York
402	Lambilly-Bresson, Elisabeth de	Colorful animals	NA	2007	Gareth Stevens	Milwaukee, WIS
403	Lambilly-Bresson, Elisabeth de	Animals around the house	NA	2007	Gareth Stevens	Milwaukee, WIS
404	Estellon, Pascale;;Goldie, Sonia;;Weiss, Anne	Animals on the farm	NA	2007	Lark books	New York
405	Goldie, Sonia	Volcanoes of the world	NA	2007	Lark books	New York
406	Picabia, Francis	I am a beautiful monster : poetry, prose, and provocation	Lowenthal, Marc	2007	Mit Press	Cambridge, MASS
407	Lambilly-Bresson, Elisabeth de	Sea animals	NA	2007	Gareth Stevens	Milwaukee, WIS
408	Gavalda, Anna	Hunting and gathering	Anderson, Alison	2007	Riverhead Books	New York
409	Lambilly-Bresson, Elisabeth de	Animales de la casa	NA	2007	Gareth Stevens	Milwaukee, WIS
410	Lambilly-Bresson, Elisabeth de	Animales de la charca	NA	2006	Gareth Stevens	Milwaukee, WIS
411	Lambilly-Bresson, Elisabeth de	Animales del campo	NA	2007	Gareth Stevens	Milwaukee, WIS
412	Lambilly-Bresson, Elisabeth de	Animales del jardin	NA	2007	Gareth Stevens	Milwaukee, WIS
413	Lambilly-Bresson, Elisabeth de	Animales de la noche	NA	2007	Gareth Stevens	Milwaukee, WIS
414	Lambilly-Bresson, Elisabeth de	Animales de la granja	NA	2007	Gareth Stevens	Milwaukee, WIS
415	Lambilly-Bresson, Elisabeth de	Animales marinos	NA	2007	Gareth Stevens	Milwaukee, WIS
416	Echenoz, Jean	Ravel	Coverdale, Linda	2007	New Press	New York
417	Corneille, Pierre	The theatre of illusion	Wilbur, Richard	2007	Harcourt	Orlando, FLA
418	Lambilly-Bresson, Elisabeth de	Animales de vivos colores	NA	2007	Gareth Stevens	Milwaukee, WIS
419	Vargas, Fred	Seeking whom he may devour : Chief Inspector Adamsberg investigates	NA	2007	Thorndike Press	Detroit, MICH
420	Simenon, Georges	The engagement	Moschovakis, Anna	2007	New York Review Books	New York
421	Camus, Albert	Exile and the kingdom (stories) : The adulterous wife ; The renegade, or, A confused mind ; The voiceless ; The guest ; Jonas, or, The artist at work ; The growing stone	Cosman, Carol	2007	Vintage Books	New York
422	Kourouma, Ahmadou	Allah is not obliged	Wynne, Frank	2007	Anchor Books	New York
423	Bonotaux, Gilles	Dirty rotten bugs? : arthropods unite to tell their side of the story	NA	2007	Two-Can	Minnetonka, MINN
424	Prévost, Guillaume	The Book of Time	Rodarmor, William	2007	A.A. Levine Books	New York
425	Bouquillard, Jocelyn;;Marquet, Christophe	Hokusai, first manga master	Nash, Liz	2007	Abrams	New York
426	Hans, Marie-Pierre	Mr. William	NA	2007	MacAdam/Cage Publishing	San Francisco, CALIF
427	Ponge, Francis	Mute objects of expression	Fahnestock, Lee	2008	Archipelago Books	Brooklyn, N.Y.
428	Pineau, Gisèle	Devil's dance	Dickson, C.	2006	University of Nebraska Press	Lincoln, NEBR
429	Shan, Sa	Empress	Hunter, Adriana	2006	Reagan Books	New York
430	Wiesel, Elie	Day	Borchardt, Anne	2006	Hill and Wang	New York
431	Wiesel, Elie	Dawn	Frenaye, Frances	2006	Hill and Wang	New York
432	Simenon, Georges	The yellow dog	Asher, Linda	2006	Penguin	New York
433	Simenon, Georges	A man's head	Sainsbury, Geoffrey	2006	Penguin	New York
434	Simenon, Georges	Lock 14	Baldick, Robert	2006	Penguin	New York
435	Du Bellay, Joachim	The regrets : with, The antiquities of Rome, three Latin elegies, and The defense and enrichment of the French language	Helgerson, Richard	2006	University of Pennsylvania Press	Philadelphia, PA
436	Kundera, Milan	The curtain : an essay in seven parts	Asher, Linda	2006	Harper Collins Publishers	New York
437	Mallarmé, Stéphane	Divagations : the 1897 arrangement by the author;;Music and letters	Johnson, Barbara	2007	Harvard University Press	Cambridge, MASS
438	Christine de Pisan	The city of ladies	Brown-Grant, Rosalind	2006	Penguin	New York
439	Wiesel, Elie	The time of the uprooted	Hapgood, David	2007	Schocken Books	New York
440	Sade, Donatien Alphonse François de	Philosophy in the boudoir, or, The immoral mentors	Neugroschel, Joachim	2006	Penguin	New York
441	Allain, Marcel;;Souvestre, Pierre	Fantômas	NA	2006	Penguin	New York
442	Verne, Jules	The Kip brothers	Luce, Stanford	2007	Wesleyan University Press	Middletown, CONN
443	Segalen, Victor	Stèles - Gu jin bei lu (1)	Bush, Christopher;;Billings, Timothy James	2007	Wesleyan University Press	Middletown, CONN
444	Flaubert, Gustave;;Ranous, Dora Knowlton	Sentimental education : the story of a young man	NA	2006	Dover Publications	Mineola, N.Y.
445	La Rochefoucauld, François de	Maxims of La Rochefoucauld	Heard, John	2006	Dover Publications	Mineola, N.Y.
446	Hugo, Victor	The hunchback of Notre Dame	Alger, Abby Langdon	2006	Dover Publications	Mineola, N.Y.
447	Leblanc, Maurice	Arsène Lupin, gentleman-thief	NA	2007	Penguin	New York
448	Vargas, Fred	Seeking whom he may devour : Chief Inspector Adamsberg investigates	NA	2006	Simon and Schuster	New York
449	Dumas, Alexandre	The three musketeers	NA	2007	Dover Publications	Mineola, N.Y.
450	Condé, Maryse	The story of the cannibal woman	Philcox, Richard	2007	Atria Books	New York
451	Begag, Azouz	Shantytown kid	Hargreaves, Alec G.;;Wolf, Naïma	2007	University of Nebraska Press	Lincoln, NEBR
452	Zola, Émile	Nana	Rascoe, Burton	2007	Dover Publications	Mineola, N.Y.
453	Simenon, Georges	The bar on the Seine	Watson, David	2007	Penguin	New York
454	Dufossé, Christophe	School's out	Whiteside, Shaun	2007	Penguin	New York
455	Simenon, Georges	The Hotel Majestic	Watson, David	2007	Penguin	New York
456	Musset, Alfred de	Gamiani, or, Two nights of excess : a naughty French novel	NA	2007	Harper Perennial	New York
457	Maupassant, Guy de	My uncle Jules and other stories	Appelbaum, Stanley	2007	Dover Publications	Mineola, N.Y.
458	Vargas, Fred	Wash this blood clean from my hand	Reynolds, Siân	2007	Penguin	New York
459	Dumas, Alexandre;;Hoffmann, Ernst Theodor Amadeus	The nutcracker and the mouse king	Neugroschel, Joachim	2007	Penguin	New York
460	Gray, Marie	Stories to make you blush : seven naughty tales	NA	2007	Sourcebooks	Naperville, ILL
461	Bouraoui, Nina	Tomboy	Gavarini, Jehanne-Marie;;Salvodon, Marjorie	2007	University of Nebraska Press	Lincoln, NEBR
462	Mabanckou, Alain	African psycho	Hartley, Christine Schwartz	2007	Soft Skull Press	Brooklyn, N.Y.
463	Bondoux, Anne-Laure	Vasco, leader of the tribe	Maudet, Y.	2007	Delacorte Press	New York
464	Crommelynck, Fernand;;et al.;;Cardullo, Bert	A critical edition of two modern plays on the dramatic character of Sir John Falstaff : Chimes at midnight, by Orson Welles, and The knight of the moon, or Sir John Falstaff, by Fernand Crommelynck	NA	2006	Edwin Mellen Press	Lewiston, N.B.
465	Goffette, Guy	Charlestown blues : selected poems	Hacker, Marilyn	2007	University of Chicago Press	Chicago, ILL
466	Duteurtre, Benoît	The little girl and the cigarette	Mandell, Charlotte	2006	Melville House Publishing	Hoboken, N.J.
467	Ovaldé, Véronique	Kick the animal out	Hunter, Adriana	2007	MacAdam/Cage Publishing	San Francisco, CALIF
468	Verne, Jules	From the earth to the moon	Roth, Edward	2005	Barnes & Noble Books	New York
469	Rabelais, François	Gargantua and Pantagruel	Urquhart, Thomas;;Le Motteux, Peter Anthony	2005	Barnes & Noble Books	New York
470	Dubois, Claude K.;;Norac, Carl	Quiero un beso!;;I want a kiss!	Ros, Rafael	2005	Scholastic	New York
471	Boursin, Didier	Easy origami	NA	2005	Firefly Books	Buffalo, N.Y.
472	Beckett, Samuel	Waiting for Godot : tragicomedy in 2 acts	Beckett, Samuel	2006	Grove Press	New York
473	Dantec, Maurice G.	Babylon babies	Wedell, Noura	2005	Semiotext(e)	Los Angeles, CALIF
474	Ramos, Mario	Mommy!;;Mamá!	Sarfatti, Esther;;Ros, Rafael	2005	Scholastic	New York
475	Khadra, Yasmina	Autumn of the phantoms	Botsford, Aubrey	2006	Toby Press	New Milford, Conn.
476	Molière	The misanthrope and other plays : The misanthrope ; The doctor in spite of himself ; The miser ; The would-be gentleman ; The mischievous machinations of Scapin ; The learned women ; The imaginary invalid	Frame, Donald Murdoch	2005	Signet Classics	New York
477	Leroux, Gaston	The mystery of the yellow room : extraordinary adventures of Joseph Rouletabille, reporter	NA	2006	Dover Publications	Mineola, N.Y.
478	Dumas, Alexandre	The three musketeers	Hochman, Eleanor	2006	Signet Classics	New York
479	Hugo, Victor	The hunchback of Notre-Dame	Cobb, Walter J.	2005	Signet Classics	New York
480	Grosjean, Jean	An earth of time	Waldrop, Keith	2006	Burning Deck	Providence, R.I.
481	Stendhal	The red and the black : a chronicle of the nineteenth century	Parks, Lloyd C.	2006	Signet Classics	New York
482	Dumas, Alexandre	The man in the iron mask	Rogers, Jacqueline	2006	Signet Classics	New York
483	Goscinny, René;;Sempé, Jean-Jacques	Nicholas again	Bell, Anthea	2006	Phaidon	New York
484	Doppelt, Suzanne	Ring, rang, wrong	Swensen, Cole;;Aperghis, Georges	2006	Burning Deck	Providence, R.I.
485	Blain, Christophe;;Sfar, Joann;;Trondheim, Lewis	Dungeon, the early years	Johnson, Joe	2005	NBM Publishing	New York
486	Sade, Donatien Alphonse François de	Justine, or, The misfortunes of virtue : a philosophical romance	NA	2005	Barnes & Noble Books	New York
487	Ayala, Roselyne de;;Des Vallières, Nathalie	Saint Exupéry : art, writing and musings	Zielonka, Anthony	2004	Rizzoli	New York
488	Molière	The miser	Magruder, James	2004	Dramatists Play Service	New York
489	Flaubert, Gustave	Salammbo	NA	2006	Mondial	New York
490	Zola, Émile	Thérèse Raquin	NA	2006	Chatterley Press International	Port Jefferson, N.Y.
491	Daigle, Evelyne	The world of penguins	Wright, Genevieve	2007	Tundra Books of Northern New York	Plattsburgh, N.Y.
492	Desnos, Robert	Mythmaking (the mythological poetry of Robert Desnos) : True tales of the Argonauts ; Minotaur ; Bacchus and Apollo ; The satyr ; The bath with Andromeda	Sanders, Todd;;Taeger, Oonagh	2006	Air and Nothingness Press	Pittsburgh, PA
493	Forand, Claude	In the claws of the cat	Elder, Jo-Anne	2006	Guernica	Tonawanda, N.Y.
494	Balzac, Honoré de	Ursula	Wormeley, Katharine Prescott	2006	Mondial	New York
495	Zola, Émile;;Vizetelly, Ernest Alfred	His Excellency	NA	2006	Mondial	New York
496	Verne, Jules	An Antarctic mystery : The sphinx of the ice fields	Hoey, Frances Cashel	2006	Mondial	New York
497	Zola, Émile;;Vizetelly, Ernest Alfred	The joy of life	NA	2006	Mondial	New York
498	Simenon, Georges	The friend of Madame Maigret : an inspector Maigret mystery	Sebba, Helen	2007	Penguin	New York
499	Montaigne, Michel de;;Appelbaum, Stanley	Selected essays	NA	2007	Dover Publications	Mineola, N.Y.
500	Rimbaud, Arthur	A season in hell	Revell, Donald	2007	Omnidawn Publishing	Richmond, CALIF
501	Simenon, Georges	The madman of Bergerac	Sainsbury, Geoffrey	2007	Penguin	New York
502	Delaunois, Angèle;;Lafrance, Marie	The long journey of Mister Poop  : el gran viaje del Señor Caca	Zolinsky, Daniel	2007	Cinco Puntos Press	El Paso, TEX
503	Vadon, Catherine	Meet the shark	NA	2007	Two-Can	Minnetonka, MINN
504	Sartre, Jean-Paul	Nausea	Alexander, Lloyd	2007	New Directions	New York
505	Verne, Jules	Lighthouse at the end of the world : the first English translation of Verne's original manuscript	Butcher, William	2007	University of Nebraska Press	Lincoln, NEBR
506	Maeterlinck, Maurice	The intelligence of flowers	Mosley, Philip	2008	State University of New York Press	Albany, N.Y.
507	Lambilly-Bresson, Élisabeth de	Animals in polar regions	Holland, Gini	2008	Gareth Stevens	Pleasantville, N.Y.
508	Lambilly-Bresson, Élisabeth de	Animals in the desert	NA	2008	Gareth Stevens	Pleasantville, N.Y.
509	Lambilly-Bresson, Élisabeth de	Animals in the forest	NA	2008	Gareth Stevens	Pleasantville, N.Y.
510	Lambilly-Bresson, Elisabeth de	Animals in the jungle	NA	2008	Gareth Stevens	Milwaukee, WIS
511	Lambilly-Bresson, Elisabeth de	Animals of the mountains	NA	2008	Gareth Stevens	Milwaukee, WIS
