id	author	title	translator	year	publisher	pub_place
1547	Simenon, Georges	Maigret and the burglar's wife	Maclaren-Ross, J.	1991	Harcourt	Orlando, FLA
1548	Besson, Philippe	In the absence of men	Wynne, Frank	2003	Carroll & Graf	New York
1549	Simenon, Georges	Maigret's Christmas : nine stories - Maigret's Christmas ; Seven little crosses in a notebook ; Maigret and the surly inspector ; The evidence of the altar-boy ; The most obstinate customer in the world ; Death of a nobody ; Sale by auction ; The man in the street ; Maigret in retirement	Stewart, Jean Margaret	2003	Harcourt	Orlando, FLA
1550	Fermine, Maxence	Snow	Mulhern, Chris	2003	Atria Books	New York
1551	Kostine, Sergueï;;Feklisov, Aleksandr	The man behind the Rosenbergs : by the KGB spymaster who was the case officer of Julius Rosenberg, Klaus Fuchs, and helped resolve the Cuban Missile Crisis	Dop, Catherine	2001	Enigma Books	New York
1552	Gervais, Bernadette;;Pittau, Francesco	That's dangerous!	Ross, Laura	2003	Black Dog & Leventhal	New York
1553	Gervais, Bernadette;;Pittau, Francesco	That's mean!	NA	2003	Black Dog & Leventhal	New York
1554	Gervais, Bernadette;;Pittau, Francesco	That's disgusting!	NA	2003	Black Dog & Leventhal	New York
1555	NA	Picture my world first word book	NA	2002	Hyperion Books for Children	New York
1556	Khadra, Yasmina	Morituri	Herman, David	2003	Toby Press	New Milford, CONN
1557	Simenon, Georges	Maigret and the Saturday caller	White, Tony	1992	Harcourt	Orlando, FLA
1558	Chaland, Yves;;Lepennetier, Yann	Freddy Lombard	NA	2003	Humanoids	Hollywood, CALL
1559	Yslaire	From cloud 99 : memories	Johnson, Joe	2000	Humanoids	Los Angeles, CALIF
1560	Maltaite, Eric	The 1001 nights of Scheherazade	Johnson, Joe	2001	Eurotica	New York
1561	Marini, Enrico;;Smolderen, Thierry;;Cruz, Greg	Negative exposure : fear and loathing in Kokonino World	Anderson, Kirk;;Storti, Luciano	2001	Humanoids	Hollywood, CALL
1562	Chaland, Yves;;Lepennetier, Yann	Freddy Lombard : The will of Godfrey of Bouillon ; The elephant graveyard ; The comet of Carthage	NA	2003	Humanoids	Hollywood, CALL
1563	Bilal, Enki;;Christin, Pierre	The hunting party	Kelly, Justin	2000	Humanoids	Los Angeles, CALIF
1564	Bilal, Enki	The dormant beast	Otus, Taras	2002	Humanoids	Hollywood, CALL
1565	Bilal, Enki;;Christin, Pierre	The cruise of lost souls	Kelly, Justin	2001	Humanoids	Hollywood, CALL
1566	Boiscommun, Olivier G.;;Filippi, Denis-Pierre	The book of Jack	Kelly, Justin;;Piche, Marelle	2000	Humanoids	Hollywood, CALL
1567	Bilal, Enki;;Dionnet, Jean-Pierre	Exterminator 17	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1568	Pastoras, Das;;Portela, Carlos	Deicide	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1569	Beltran, Fred;;Janjetov, Zoran;;Jodorowsky, Alexandro	The technopriests (1:) Techno pre-school;;(2:) Nohope Penitentiary School;;(3:) Planeta games	Kelly, Justin	1999	Humanoids	New York
1570	Thirault, Philippe;;Vigouroux, Mark;;Riou, Marc	Better living through crime	NA	2002	Humanoids	Hollywood, CALL
1571	Janjetov, Zoran;;Jodorowsky, Alexandro;;Moebius	The incal (1:) Orphan of the city shaft;;(2:) John Difool, class "R" detective	NA	2001	Humanoids	Hollywood, CALL
1572	Charest, Travis;;Giménez, Juan;;Jodorowsky, Alexandro;;Moebius	The metabarons, alpha/omega	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1573	Bec, Christophe;;Dorison, Xavier	Sanctum (#1:) USS Nebraska;;(#2:) Discovery	Kelly, Justin	2002	Humanoids	Los Angeles, CALIF
1574	Fructus, Nicolas	Thorinth	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1575	Bess, Georges;;Jodorowsky, Alexandro	The white lama (1:) The first step;;(2:) Second sight;;(3:) The three ears;;(4:) The fourth voice;;(5:) Open hand, closed fist;;(6:) Water triangle, fire triangle	Finch, Geoffrey;;Kelly, Justin	2000	Humanoids	Hollywood, CALL
1576	Bilal, Enki;;Christin, Pierre	The black order brigade	Kelly, Justin	2000	Humanoids	Hollywood, CALL
1577	Smolderen, Thierry;;Marcelé, Philippe	Colère noire : for justice, for revenge, for each other	NA	2003	Humanoids	Hollywood, CALL
1578	Bilal, Enki	The Nikopol trilogy	NA	1999	Humanoids	Los Angeles, CALIF
1579	Boucq, François;;Jodorowsky, Alexandro	Bouncer (1:) Cain's eye;;(2:) The executioners' mercy	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1580	Giménez, Juan	Leo Roa (1:) True tales of Leo Roa;;(2:) An odyssey back in time	Kelly, Justin	2001	Humanoids	Hollywood, CALL
1581	Bess, Georges;;Jodorowsky, Alexandro	Son of the gun (1:) Born in the trash;;(2:) The President's dogs;;(3:) Flesh and filth;;(4:) Sinner and saint	Kelly, Justin	2001	Humanoids	Hollywood, CALL
1582	Schuiten, François;;Schuiten, Luc	Carapaces	Solis, Julia	2001	Humanoids	Hollywood, CALL
1583	Alberti, Mario;;Enoch, Luca	Morgana	Kelly, Justin	2002	Humanoids	Hollywood, CALL
1584	Schuiten, François;;Schuiten, Luc	NogegoN	Solis, Julia	2000	Humanoids	Hollywood, CALL
1585	Marini, Enrico;;Smolderen, Thierry	Negative exposure (1:) Tiananmen Square dance;;(2:) For your amusement park;;(3:) The great escape goat;;(4:) We all live thanks to a yellow submarine	Anderson, Kirk	2001	Humanoids	Hollywood, CALL
1586	Giménez, Juan;;Jodorowsky, Alexandro	The metabarons (1:) Path of the warrior;;(2:) Blood and steel;;(3:) Poet and killer;;(4:) Immaculate conception	Kelly, Justin;;Solis, Julia	2000	Humanoids	Hollywood, CALL
1587	Latour, Pierre	Up in heaven	Anges, Aux	2000	Blue Moon Books	New York
1588	Allancé, Mireille d'	No, no, and no!;;No, no y no!	Sarfatti, Esther;;Vicens, Paula	2001	Scholastic	New York
1589	Boisteau, Manu;;Martin, Paul	Beatrice's spells	NA	2003	Hyperion Books for Children	New York
1590	Boisteau, Manu;;Martin, Paul	Frankie rocks the house	Papademetriou, Lisa	2003	Hyperion Books for Children	New York
1591	Clément, Frédéric;;Cole, Emma	The merchant of marvels and the peddler of dreams	NA	2001	Chronicle Books	San Francisco, CALIF
1592	Marivaux, Pierre de	The game of love and chance	Wadsworth, Stephen	1999	Samuel French	New York
1593	Vương, Djà̆ng	Tuyên tập truyện ngá̆n quó̂c té̂	Vương, Djà̆ng	2000	Xuân Thu	Los Alamitos, CALIF
1594	Escudié, René	Paul and Sebastian	Townley, Rod	1994	Kane/Miller Book Publishers	La Jolla, CALIF
1595	Jacq, Christian	The empire of darkness : a novel of ancient Egypt	Dyson, Sue	2003	Atria Books	New York
1596	Fermine, Maxence	The black violin	Mulhern, Chris	2003	Atria Books	New York
1597	Schmitt, Éric-Emmanuel	Enigma variations	Sams, Jeremy	2003	Dramatists Play Service	New York
1598	Molière	Tartuffe, or, The imposter	Jeffries, Charles;;Munoz, Luis	1999	Baker's Plays	Quincy, MASS
1599	Halter, Marek	The book of Abraham	Bair, Lowell	2003	Toby Press	New Milford, CONN
1600	Brézet, Stanislas;;Dorey, Véronique;;Heuet, Stéphane	Remembrance of things past	Johnson, Joe	1998	NBM Publishing	New York
1601	Tellermann, Esther	Mental ground	Waldrop, Keith	2002	Burning Deck	Providence, R.I.
1602	Marinetti, Filippo Tommaso	Selected poems and related prose	Napier, Elizabeth R.;;Studholme, Barbara R.	2002	Yale University Press	New Haven, CONN
1603	Maupassant, Guy de	The necklace	NA	2002	Creative	Mankato, MINN
1604	Dorsinville, Roger	A critical edition of Haitian writer Roger Dorsinville's Memoirs of Haiti	Dorsinville, Max	2002	Edwin Mellen Press	Lewiston, N.Y.
1605	Chedid, Andrée	Territories of breath	Cochran, Judy	2002	Edwin Mellen Press	Lewiston, N.Y.
